tick,x,y,robot_id,team
94,-0.11740,-0.15828,1,0
94,-1.49997,-1.12000,2,0
94,1.49997,0.00000,1,1
94,1.49997,-1.12000,2,1
94,0.09621,-0.15252,0,1
95,0.00000,0.00000,-1,-1
95,0.73367,1.01244,0,0
95,-0.11408,-0.15822,1,0
95,-1.49997,-1.12000,2,0
95,1.49997,0.00000,1,1
95,1.49997,-1.12000,2,1
95,0.09117,-0.16487,0,1
96,0.00000,0.00000,-1,-1
96,0.74526,1.00982,0,0
96,-0.11119,-0.15818,1,0
96,-1.49997,-1.12000,2,0
96,1.49997,0.00000,1,1
96,1.49997,-1.12000,2,1
96,0.08731,-0.17687,0,1
97,0.00000,0.00000,-1,-1
97,0.75584,1.00733,0,0
97,-0.10891,-0.15763,1,0
97,-1.49997,-1.12000,2,0
97,1.49997,0.00000,1,1
97,1.49997,-1.12000,2,1
97,0.08450,-0.18859,0,1
98,0.00000,0.00000,-1,-1
98,0.76539,1.00491,0,0
98,-0.10649,-0.15708,1,0
98,-1.49997,-1.12000,2,0
98,1.49997,0.00000,1,1
98,1.49997,-1.12000,2,1
98,0.08136,-0.19969,0,1
99,0.00000,0.00000,-1,-1
99,0.77395,1.00268,0,0
99,-0.10319,-0.15684,1,0
99,-1.49997,-1.12000,2,0
99,1.49997,-0.00000,1,1
99,1.49997,-1.12000,2,1
99,0.07789,-0.20979,0,1
100,0.00000,0.00000,-1,-1
100,0.78149,1.00061,0,0
100,-0.09900,-0.15666,1,0
100,-1.49997,-1.12000,2,0
100,1.49997,-0.00000,1,1
100,1.49997,-1.12000,2,1
100,0.07417,-0.21880,0,1
101,0.00000,0.00000,-1,-1
101,0.78913,0.99929,0,0
101,-0.09508,-0.15657,1,0
101,-1.49997,-1.12000,2,0
101,1.49997,-0.00000,1,1
101,1.49997,-1.12000,2,1
101,0.07036,-0.22675,0,1
102,0.00000,0.00000,-1,-1
102,0.79747,0.99903,0,0
102,-0.09345,-0.15604,1,0
102,-1.49997,-1.12000,2,0
102,1.49997,-0.00000,1,1
102,1.49997,-1.12000,2,1
102,0.06825,-0.23392,0,1
103,0.00000,0.00000,-1,-1
103,0.80667,0.99890,0,0
103,-0.09230,-0.15565,1,0
103,-1.49997,-1.12000,2,0
103,1.49997,-0.00000,1,1
103,1.49997,-1.12000,2,1
103,0.06631,-0.24040,0,1
104,0.00000,0.00000,-1,-1
104,0.81676,0.99875,0,0
104,-0.09181,-0.15564,1,0
104,-1.49997,-1.12000,2,0
104,1.49997,0.00000,1,1
104,1.49997,-1.12000,2,1
104,0.06434,-0.24603,0,1
105,0.00000,0.00000,-1,-1
105,0.82773,0.99861,0,0
105,-0.09183,-0.15567,1,0
105,-1.49997,-1.12000,2,0
105,1.49997,0.00000,1,1
105,1.49997,-1.12000,2,1
105,0.06251,-0.25056,0,1
106,0.00000,0.00000,-1,-1
106,0.83884,0.99850,0,0
106,-0.09185,-0.15568,1,0
106,-1.49997,-1.12000,2,0
106,1.49997,0.00000,1,1
106,1.49997,-1.12000,2,1
106,0.06090,-0.25414,0,1
107,0.00000,0.00000,-1,-1
107,0.84977,0.99840,0,0
107,-0.09138,-0.15565,1,0
107,-1.49997,-1.12000,2,0
107,1.49997,0.00000,1,1
107,1.49997,-1.12000,2,1
107,0.05960,-0.25676,0,1
108,0.00000,0.00000,-1,-1
108,0.86060,0.99829,0,0
108,-0.09111,-0.15564,1,0
108,-1.49997,-1.12000,2,0
108,1.49997,0.00000,1,1
108,1.49997,-1.12000,2,1
108,0.05864,-0.25846,0,1
109,0.00000,0.00000,-1,-1
109,0.87136,0.99819,0,0
109,-0.09061,-0.15492,1,0
109,-1.49997,-1.12000,2,0
109,1.49997,0.00000,1,1
109,1.49997,-1.12000,2,1
109,0.05812,-0.25927,0,1
110,0.00000,0.00000,-1,-1
110,0.88203,0.99809,0,0
110,-0.08966,-0.15319,1,0
110,-1.49997,-1.12000,2,0
110,1.49997,0.00000,1,1
110,1.49997,-1.12000,2,1
110,0.05801,-0.25935,0,1
111,0.00000,0.00000,-1,-1
111,0.89259,0.99799,0,0
111,-0.08827,-0.15057,1,0
111,-1.49997,-1.12000,2,0
111,1.49997,0.00000,1,1
111,1.49997,-1.12000,2,1
111,0.05802,-0.25931,0,1
112,0.00000,0.00000,-1,-1
112,0.90358,0.99789,0,0
112,-0.08643,-0.14692,1,0
112,-1.49997,-1.12000,2,0
112,1.49997,0.00000,1,1
112,1.49997,-1.12000,2,1
112,0.05802,-0.25930,0,1
113,0.00000,0.00000,-1,-1
113,0.91407,0.99780,0,0
113,-0.08510,-0.14383,1,0
113,-1.49997,-1.12000,2,0
113,1.49997,0.00000,1,1
113,1.49997,-1.12000,2,1
113,0.05802,-0.25930,0,1
114,0.00000,0.00000,-1,-1
114,0.92431,0.99790,0,0
114,-0.08364,-0.14059,1,0
114,-1.49997,-1.12000,2,0
114,1.49997,0.00000,1,1
114,1.49997,-1.12000,2,1
114,0.05802,-0.25929,0,1
115,0.00000,0.00000,-1,-1
115,0.93512,0.99795,0,0
115,-0.08154,-0.13633,1,0
115,-1.49997,-1.12000,2,0
115,1.49997,0.00000,1,1
115,1.49997,-1.12000,2,1
115,0.05802,-0.25929,0,1
116,0.00000,0.00000,-1,-1
116,0.95452,0.99789,0,0
116,-0.07534,-0.12602,1,0
116,-1.49997,-1.12000,2,0
